_id,kid,type,title,content,relatedPictograms[0],relatedPictograms[1],relatedPictograms[2],relatedScenario,reason,generatedBy,__v,createdAt,updatedAt
6a185d5f56e82dc7db3eb44e,69f3e8cf8fd7c094eaeb23d4,level,Poursuivre le niveau intermediaire,Maintenir des phrases de 2 a 3 pictogrammes en contexte scolaire.,,,,,Le niveau actuel reste pertinent mais la stabilite progresse.,ai,0,2026-05-28T15:21:03.166Z,2026-05-28T15:21:03.166Z
6a185d5f56e82dc7db3eb45f,69f3e8cf8fd7c094eaeb23d5,level,Preparer des interactions sociales ouvertes,Introduire des tours de role et des reponses a des questions courtes.,,,,,Adam maitrise deja les structures de phrase fonctionnelles longues.,ai,0,2026-05-28T15:21:03.186Z,2026-05-28T15:21:03.186Z
6a185d5f56e82dc7db3eb460,69f3e8cf8fd7c094eaeb23d5,message,Conseil de generalisation,Reprendre les memes structures de phrase a la maison et a l'ecole pour stabiliser les acquis.,,,,,Adam progresse mieux quand la meme structure est reutilisee dans plusieurs contextes.,system,0,2026-05-28T15:21:03.186Z,2026-05-28T15:21:03.186Z
6a186d817008adb93139f82a,69f3e8ce8fd7c094eaeb23d0,pictogram,"Pictogramme: J'ai soif, aide-moi.",scenario - Renforcer un pictogramme deja utilise augmente la confiance et la repetition utile.,,,,,Renforcer un pictogramme deja utilise augmente la confiance et la repetition utile.,ai,0,2026-05-28T16:29:53.403Z,2026-05-28T16:29:53.403Z
6a186d817008adb93139f82b,69f3e8ce8fd7c094eaeb23d0,pictogram,Pictogramme: Je ressens,Besoins - Ajouter un mot fonctionnel permet de construire des phrases plus autonomes.,,,,,Ajouter un mot fonctionnel permet de construire des phrases plus autonomes.,ai,0,2026-05-28T16:29:53.403Z,2026-05-28T16:29:53.403Z
6a186d817008adb93139f82c,69f3e8ce8fd7c094eaeb23d0,scenario,Scenario: Routine courte de 5 minutes,Travailler peu de pictogrammes dans une routine familiere limite la charge cognitive.,,,,,Travailler peu de pictogrammes dans une routine familiere limite la charge cognitive.,ai,0,2026-05-28T16:29:53.403Z,2026-05-28T16:29:53.403Z
6a186d817008adb93139f82d,69f3e8ce8fd7c094eaeb23d0,level,Adaptation du niveau,"Commencer par 3 pictogrammes connus, puis ajouter 1 nouveaute.",,,,,Recommandations basees sur la categorie dominante: scenario.,ai,0,2026-05-28T16:29:53.404Z,2026-05-28T16:29:53.404Z
6a186d817008adb93139f82e,69f3e8ce8fd7c094eaeb23d0,level,Adaptation du niveau,Garder une consigne courte et valider chaque tentative de communication.,,,,,Recommandations basees sur la categorie dominante: scenario.,ai,0,2026-05-28T16:29:53.404Z,2026-05-28T16:29:53.404Z
6a186d817008adb93139f82f,69f3e8ce8fd7c094eaeb23d0,message,Conseil de supervision,Observer les categories evitees et les reintroduire dans un moment calme.,,,,,Recommandations basees sur la categorie dominante: scenario.,ai,0,2026-05-28T16:29:53.404Z,2026-05-28T16:29:53.404Z
6a186d817008adb93139f830,69f3e8ce8fd7c094eaeb23d0,message,Conseil de supervision,Noter les phrases spontanees pour personnaliser la prochaine seance.,,,,,Recommandations basees sur la categorie dominante: scenario.,ai,0,2026-05-28T16:29:53.404Z,2026-05-28T16:29:53.404Z
6a186d817008adb93139f836,69f3e8ce8fd7c094eaeb23d0,pictogram,"Pictogramme: J'ai soif, aide-moi.",scenario - Renforcer un pictogramme deja utilise augmente la confiance et la repetition utile.,,,,,Renforcer un pictogramme deja utilise augmente la confiance et la repetition utile.,ai,0,2026-05-28T16:29:53.440Z,2026-05-28T16:29:53.440Z
6a186d817008adb93139f837,69f3e8ce8fd7c094eaeb23d0,pictogram,Pictogramme: Je ressens,Besoins - Ajouter un mot fonctionnel permet de construire des phrases plus autonomes.,,,,,Ajouter un mot fonctionnel permet de construire des phrases plus autonomes.,ai,0,2026-05-28T16:29:53.440Z,2026-05-28T16:29:53.440Z
6a186d817008adb93139f838,69f3e8ce8fd7c094eaeb23d0,scenario,Scenario: Routine courte de 5 minutes,Travailler peu de pictogrammes dans une routine familiere limite la charge cognitive.,,,,,Travailler peu de pictogrammes dans une routine familiere limite la charge cognitive.,ai,0,2026-05-28T16:29:53.440Z,2026-05-28T16:29:53.440Z
6a186d817008adb93139f839,69f3e8ce8fd7c094eaeb23d0,level,Adaptation du niveau,"Commencer par 3 pictogrammes connus, puis ajouter 1 nouveaute.",,,,,Recommandations basees sur la categorie dominante: scenario.,ai,0,2026-05-28T16:29:53.440Z,2026-05-28T16:29:53.440Z
6a186d817008adb93139f83a,69f3e8ce8fd7c094eaeb23d0,level,Adaptation du niveau,Garder une consigne courte et valider chaque tentative de communication.,,,,,Recommandations basees sur la categorie dominante: scenario.,ai,0,2026-05-28T16:29:53.440Z,2026-05-28T16:29:53.440Z
6a186d817008adb93139f83b,69f3e8ce8fd7c094eaeb23d0,message,Conseil de supervision,Observer les categories evitees et les reintroduire dans un moment calme.,,,,,Recommandations basees sur la categorie dominante: scenario.,ai,0,2026-05-28T16:29:53.440Z,2026-05-28T16:29:53.440Z
6a186d817008adb93139f83c,69f3e8ce8fd7c094eaeb23d0,message,Conseil de supervision,Noter les phrases spontanees pour personnaliser la prochaine seance.,,,,,Recommandations basees sur la categorie dominante: scenario.,ai,0,2026-05-28T16:29:53.440Z,2026-05-28T16:29:53.440Z
